"Название ресурса","URL-адрес ресурса","Тематики ресурса","Тип ресурса","Данные Метрики","Посетители (кросс-девайс)","Посетители (браузер)","Среднее время","Доля пользователей приложения","Дневная аудитория"
"Бухучет, налогообложение и аудит РФ","audit-it.ru","Финансы->Финансовые новости, Новости и СМИ->Финансовые новости, Новости и СМИ, Финансы","Сервисы","да","8726","11750","00:03:24","0.0","1201"
"Мужской журнал MAXIM Online. Официальный сайт...","maximonline.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Контентные проекты","да","8702","11250","00:04:19","0.0","1101"
"Calorizator.ru — портал о здоровом питании","calorizator.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Здоровый образ жизни","Контентные проекты","да","8611","11100","00:02:32","0.0","1234"
"4pda - мобильные устройства и технологии","4pda.ru","Техника и технологии, Техника и технологии->Мобильный контент","Контентные проекты","да","8385","11350","00:08:57","0.0","1289"
"«Пятый канал» — официальный сайт телерадиокомпании","5-tv.ru","Новости и СМИ, Новости и СМИ->Телевидение","Новости","да","8294","10450","00:00:49","0.0","1042"
"«Эхо Москвы» — радиостанция","echo.msk.ru","Новости и СМИ","Новости","да","8150","10650","00:08:15","0.0","1437"
"Экспресс газета - сетевое издание | EG.RU","eg.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","8116","10500","00:01:46","0.0","1065"
"Лучшие публикации за сутки / Хабр","habr.com","Техника и технологии, Техника и технологии->Программирование и разработка ПО","Сообщества","да","8079","11250","00:06:53","0.0","1386"
"1001 гороскоп — астрологический портал","1001goroskop.ru","Развлечения и отдых","Контентные проекты","да","8020","11050","00:04:53","0.0","1574"
"Юридическая консультация онлайн","9111.ru","","Сообщества","да","7815","10050","00:03:45","0.0","1031"
"Iamcook — пошаговые рецепты с фото","iamcook.ru","Домашнее хозяйство->Кулинария и рецепты, Домашнее хозяйство","Контентные проекты","да","7793","10000","00:02:01","0.0","995"
"Ростелеком - информационный портал об услугах доступа в интернет, Интерактивного ТВ и телефонной связи","rt.ru","Услуги","Представительства бизнесов и организаций","да","7541","9450","00:02:42","0.0","1027"
"Канобу - сайт про современные развлечения","kanobu.ru","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Контентные проекты","да","6956","8950","00:02:42","0.0","1014"
"Яндекс.Авиабилеты — поиск авиабилетов","avia.yandex.ru","Путешествия->Авиа и ж/д билеты, Путешествия","Агрегаторы","да","6866","8950","00:07:00","0.10897435897435898","1039"
"Marie Claire — женский онлайн-журнал","marieclaire.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","6841","8900","00:04:25","0.0","899"
"Рамблер.Почта — бесплатная почтовая служба","mail.rambler.ru","Техника и технологии, Техника и технологии->Интернет-сервисы","Сервисы","да","6821","10700","00:41:43","0.0","2210"
"«Домофонд» — платформа для подбора недвижимости","domofond.ru","Недвижимость, Недвижимость->Жилая недвижимость","Агрегаторы","да","6691","9250","00:14:17","0.0","1039"
"«Glamour» — интернет-версия женского журнала","glamour.ru","Здоровье, красота, стиль, Новости и СМИ","Контентные проекты","да","6677","8550","00:02:18","0.0","843"
"Педагогическое сообщество «Урок.рф»","урок.рф","Образование->Сайты педагогов, Образование","Контентные проекты","да","6561","9000","00:02:27","0.0","897"
"«Спорт-экспресс» — спортивный портал","sport-express.ru","Спорт и активный образ жизни, Спорт и активный образ жизни->Футбол","Новости","да","6512","8650","00:06:55","0.0","1010"
"НеБолеем.net – портал о медицине и здоровом образе...","neboleem.net","Медицина->Болезни, Медицина","Контентные проекты","да","6177","7800","00:01:02","0.0","746"
"«Vogue» — журнал","vogue.ru","Здоровье, красота, стиль, Новости и СМИ","Контентные проекты","да","6072","8200","00:03:40","0.0","893"
"«Косметиста» — сообщество о косметике","kosmetista.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Косметика","Сообщества","да","6014","7650","00:07:55","0.0","977"
"«Звезда» — телерадиокомпания","tvzvezda.ru","Новости и СМИ, Новости и СМИ->Телевидение","Новости","да","6005","7550","00:00:45","0.0","709"
"«Time Out» — развлекательный журнал","timeout.ru","Развлечения и отдых, Развлечения и отдых->Афиша и продажа билетов","Контентные проекты","да","5911","7700","00:02:11","0.0","741"
"«Екатеринбург Он-Лайн» — региональный портал","e1.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","5187","6450","00:03:20","0.0","650"
"Официальный сайт женского журнала «Лиза» – Lisa.ru","lisa.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","5136","6450","00:02:01","0.0","645"
"Ридус — агентство гражданской журналистики","ridus.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","5104","6350","00:02:31","0.0","668"
"«Муз-ТВ» — музыкально-развлекательный телеканал","muz-tv.ru","Развлечения и отдых, Развлечения и отдых->Музыка онлайн","Видео","да","5083","6650","00:01:40","0.0","708"
"101 отель — служба бронирования гостиниц","101hotels.ru","Путешествия->Гостиницы, отели и кемпинги, Путешествия","Агрегаторы","да","4928","6400","00:05:43","0.0","635"
"«ИноСМИ.ru» — переводы публикаций зарубежных СМИ","inosmi.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","4886","6150","00:01:06","0.0","626"
"Информационный портал телерадиокомпании «Мир»","mir24.tv","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Новости и СМИ->Телевидение, Бизнес->Деловые новости","Новости","да","4885","6200","00:00:51","0.0","580"
"Аптека тяньши: Здоровый образ жизни, альтернативная...","tiensmed.ru","Медицина->Альтернативная медицина, Медицина","Контентные проекты","да","4757","6050","00:01:43","0.0","566"
"Все новости столицы, России и мира - Вечерняя Москва","vm.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","4755","6200","00:01:13","0.0","603"
"Скрытые друзья ВКонтакте в открытом доступе","220vk.com","","Сервисы","да","4494","5950","00:22:50","0.0","1200"
"Яндекс Плюс","plus.yandex.ru","Услуги","Сервисы","да","4357","6050","00:00:24","0.0","498"
"RUPOSTERS - новости, которые вы заслужили!","ruposters.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","4357","5900","00:00:51","0.0","534"
"«Летидор» — портал для активных родителей","letidor.ru","Семья и дети, Семья и дети->Развитие и воспитание детей","Контентные проекты","да","4147","5150","00:02:07","0.0","479"
"«Утро.ru» — ежедневная электронная газета","utro.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","4147","5200","00:01:22","0.0","581"
"Справочник организаций Россиии и СНГ - адреса...","jsprav.ru","Справочные ресурсы, Справочные ресурсы->Желтые страницы","Контентные проекты","да","4144","5100","00:01:25","0.0","525"
"Туристер.Ру — туристическая социальная сеть","tourister.ru","Путешествия","Контентные проекты","да","4064","5100","00:01:49","0.0","479"
"«НГС.Новосибирск» — городской портал","ngs.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","4062","5100","00:02:31","0.0","511"
"«Нижний Новгород онлайн» — городской портал","nn.ru","Новости и СМИ","Новости","да","4019","5050","00:02:52","0.0","474"
