"Название ресурса","URL-адрес ресурса","Тематики ресурса","Тип ресурса","Данные Метрики","Посетители (кросс-девайс)","Посетители (браузер)","Среднее время","Доля пользователей приложения","Дневная аудитория"
"«Wday.ru» — информационный женский портал","wday.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","12766","16550","00:03:05","0.0","1645"
"Сравни.ру — выбор услуг банков и автострахования","sravni.ru","Финансы->Финансовые рынки, Финансы","Агрегаторы","да","12721","16100","00:01:55","0.0","1613"
"Читать мангу на Русском онлайн. Свежие переводы.","readmanga.me","Развлечения и отдых, Развлечения и отдых->Юмор и Комиксы","Контентные проекты","да","12595","20050","02:12:08","0.0","4429"
"«НТВ» — телекомпания","ntv.ru","Новости и СМИ, Новости и СМИ->Телевидение","Новости","да","12516","15700","00:02:39","0.028169014084507046","1714"
"Rlsnet.ru — энциклопедия лекарств","rlsnet.ru","Справочные ресурсы, Справочные ресурсы->Энциклопедии","Контентные проекты","да","12250","15750","00:03:47","0.0","1851"
"SYL.ru","syl.ru","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Контентные проекты","да","12235","15750","00:01:30","0.0","1521"
"«Cosmopolitan Россия» — женский журнал","cosmo.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","11942","15750","00:01:53","0.0","1579"
"Яндекс.Район — не пропустите полезное рядом","yandex.ru/local","Справочные ресурсы, Справочные ресурсы->Карты и схемы","Сообщества","да","11936","15750","00:02:20","0.0","1756"
"Рамблер.Касса — продажа электронных билетов","kassa.rambler.ru","Развлечения и отдых, Развлечения и отдых->Афиша и продажа билетов","Сервисы","да","11697","15750","00:04:49","0.0","1596"
"Starhit.ru — портал о жизни звезд","starhit.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","11441","14400","00:02:04","0.0","1798"
"«Узнай все» — ежедневное электронное издание","uznayvse.ru","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Контентные проекты","да","11194","14400","00:01:54","0.0","1489"
"«Regnum» — федеральное информационное агентство","regnum.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","10888","14200","00:01:36","0.0","1543"
"Женский журнал WomanAdvice.ru - советы на все случаи...","womanadvice.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","10867","13650","00:02:43","0.0","1475"
"«Эхо Москвы» — радиостанция","echo.msk.ru","Новости и СМИ","Новости","да","10714","14400","00:08:35","0.0","1935"
"Яндекс.Недвижимость — система поиска недвижимости","realty.yandex.ru","Недвижимость, Недвижимость->Жилая недвижимость","Агрегаторы","да","10626","14600","00:15:28","0.24193548387096775","1628"
"Яндекс.Радио — музыкальный сервис","radio.yandex.ru","Развлечения и отдых, Развлечения и отдых->Музыка онлайн","Сервисы","да","10442","14650","03:46:59","0.5767634854771784","3699"
"Фильм Про — кинопортал","filmpro.ru","Развлечения и отдых->Фильмы онлайн, Развлечения и отдых","Видео","да","10110","13550","00:01:05","0.0","1252"
"MSN Россия | Новости, фото, погода, Skype и Outlook","msn.com","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","10048","13700","00:15:07","0.0","2443"
"«Звезда» — телерадиокомпания","tvzvezda.ru","Новости и СМИ, Новости и СМИ->Телевидение","Новости","да","9669","12600","00:01:45","0.0","1344"
"«7я.ру» — портал о детях и семье","7ya.ru","Семья и дети, Семья и дети->Развитие и воспитание детей","Контентные проекты","да","9655","12050","00:01:15","0.0","1244"
"Крупнейший каталог товаров в России - regmarkets.ru","regmarkets.ru","Торговля","Агрегаторы","да","8889","11400","00:01:43","0.0","1138"
"«Film.ru» — национальный кинопортал","film.ru","Развлечения и отдых->Фильмы онлайн, Развлечения и отдых","Контентные проекты","да","8696","11350","00:01:05","0.0","1064"
"«Юлмарт» - Интернет-Магазин №1 в России","ulmart.ru","Торговля->Электронная техника, Торговля","Интернет-магазины","да","8274","10600","00:06:07","0.0","1078"
"«Екатеринбург Он-Лайн» — региональный портал","e1.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","8000","9950","00:04:17","0.0","991"
"GMbox.ru — игровой медиа-портал","gmbox.ru","Развлечения и отдых->Компьютерные игры, Развлечения и отдых","Контентные проекты","да","7685","10500","00:02:34","0.0","1087"
"«Дождь» — телеканал","tvrain.ru","Новости и СМИ, Новости и СМИ->Телевидение","Новости","да","7459","9500","00:03:03","0.0","1017"
"«Еда» — кулинарный портал","eda.ru","Домашнее хозяйство->Кулинария и рецепты, Домашнее хозяйство","Контентные проекты","да","7333","9200","00:02:25","0.0","976"
"Яндекс.Работа — система поиска работы","rabota.yandex.ru","Работа и карьера, Работа и карьера->Вакансии и резюме","Агрегаторы","да","7316","10150","00:10:08","0.20359281437125748","1104"
"«ИноСМИ.ru» — переводы публикаций зарубежных СМИ","inosmi.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","7295","9350","00:03:32","0.0","1074"
"Яндекс.Авиабилеты — поиск авиабилетов","avia.yandex.ru","Путешествия->Авиа и ж/д билеты, Путешествия","Агрегаторы","да","6961","9250","00:08:40","0.1317365269461078","1049"
"Рамблер.Почта — бесплатная почтовая служба","mail.rambler.ru","Техника и технологии, Техника и технологии->Интернет-сервисы","Сервисы","да","6961","10700","00:35:46","0.0","2184"
"Lostfilm.tv — портал о зарубежных сериалах","lostfilm.tv","Развлечения и отдых->Фильмы онлайн, Развлечения и отдых","Видео","да","6953","9500","00:11:19","0.0","1954"
"Яндекс Плюс","plus.yandex.ru","Услуги","Сервисы","да","6795","8900","00:00:22","0.0","778"
"«Пятый канал» — официальный сайт телерадиокомпании","5-tv.ru","Новости и СМИ, Новости и СМИ->Телевидение","Новости","да","6759","8550","00:00:54","0.0","857"
"«Ярмарка Мастеров» — гипермаркет авторских работ","livemaster.ru","Здоровье, красота, стиль->Одежда, обувь, аксессуары, Здоровье, красота, стиль, Торговля->Одежда, обувь, аксессуары, Торговля","Интернет-магазины","да","6697","8800","00:06:58","0.0","995"
"Ридус — агентство гражданской журналистики","ridus.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","6679","8300","00:02:02","0.0","1009"
"«Повар.ру» — кулинарные рецепты","povar.ru","Домашнее хозяйство->Кулинария и рецепты, Домашнее хозяйство","Контентные проекты","да","6674","8550","00:03:00","0.0","857"
"«LiveInternet» — сервис для блоггеров","liveinternet.ru","","Контентные проекты","да","6551","8450","00:01:33","0.0","820"
"Рамблер/гороскопы","horoscopes.rambler.ru","Непознанное->Астрология и гороскопы, Непознанное","Контентные проекты","да","6498","8400","00:02:36","0.0","986"
"Дни.ру – влиятельная российская интернет-газета","dni.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","6345","8200","00:02:12","0.0","930"
"Автоновости дня - авто журнал АвтоВзгляд","avtovzglyad.ru","Авто и мото->Издания об автомобилях, Авто и мото, Новости и СМИ->Издания об автомобилях, Новости и СМИ","Контентные проекты","да","6100","7400","00:01:45","0.0","756"
"Chip — компьютерный журнал","ichip.ru","Техника и технологии, Техника и технологии->Новости Hi-Tech","Контентные проекты","да","6088","7750","00:01:16","0.0","756"
"Скачать взломанные игры и моды на Андроид бесплатно","alpha-ag.ru","Развлечения и отдых->Игры, Развлечения и отдых","Контентные проекты","да","5955","7900","00:04:20","0.0","866"
