"Название ресурса","URL-адрес ресурса","Тематики ресурса","Тип ресурса","Данные Метрики","Посетители (кросс-девайс)","Посетители (браузер)","Среднее время","Доля пользователей приложения","Дневная аудитория"
"Росработа — работа в Москве и области","rosrabota.ru","Работа и карьера, Работа и карьера->Вакансии и резюме","Агрегаторы","да","207","350","00:06:35","0.0","27"
"Тамбов — телерадиокомпания","vestitambov.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","207","300","00:01:33","0.0","32"
"Сайт знакомств ""Знакомства.Ру"" - бесплатные онлайн...","znakomstva.ru","Для взрослых (18+)->Знакомства 18+, Для взрослых (18+)","Социальные сети","да","207","250","00:06:24","0.0","32"
"Рамблер. Знакомства","dating.rambler.ru","Для взрослых (18+)->Знакомства 18+, Для взрослых (18+)","Социальные сети","да","166","200","00:23:55","0.0","18"
"Drivenn.ru — автомобили в Нижнем Новгороде","drivenn.ru","Авто и мото, Авто и мото->Продажа автомобилей и мотоциклов, Торговля->Продажа автомобилей и мотоциклов, Торговля","Агрегаторы","да","166","200","00:00:25","0.0","18"
"Стройпортал Mainavi","mainavi.ru","Строительство и ремонт->Советы и рекомендации по строительству, Строительство и ремонт","Контентные проекты","да","166","250","00:00:26","0.0","23"
"НГС.Омск — городской портал","ngs55.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","166","200","00:00:17","0.0","18"
"Российские аналоги импортных лекарств","rusanalogi.ru","Медицина->Лекарства и медицинские товары, Торговля->Лекарства и медицинские товары, Медицина, Торговля","Контентные проекты","да","166","200","00:03:42","0.0","18"
"Здоровые сосуды, лечение и профилактика","sosud-ok.ru","Медицина->Медицинские услуги, Услуги->Медицинские услуги, Услуги, Медицина","Контентные проекты","да","166","200","00:02:08","0.0","18"
"Рамблер.Топ100 — счётчик","top100.rambler.ru","","Агрегаторы","да","166","250","00:09:02","0.0","27"
"Меню на каждый праздник. Что приготовить на день...","every-holiday.ru","Домашнее хозяйство->Кулинария и рецепты, Домашнее хозяйство","Контентные проекты","да","124","150","00:00:26","0.0","13"
"Панорамы, поиск по изображениям... — Рамблер/картинки","images.rambler.ru","Культура и искусство","Сервисы","да","124","150","00:00:27","0.0","13"
"Вязание крючком и спицами: схемы, мастер-классы, видео","verena.ru","Здоровье, красота, стиль","Контентные проекты","да","124","150","00:00:30","0.0","23"
"В городе N — портал Нижнего Новгорода","vgoroden.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Новости","да","124","150","00:00:20","0.0","13"
"Сайт Оренбурга 1743 - новости твоего города","1743.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","83","100","00:12:35","0.0","9"
"ДачаДекор: Ландшафтный дизайн дачного участка своими...","dachadecor.ru","Домашнее хозяйство->Сад и огород, Домашнее хозяйство","Контентные проекты","да","83","100","00:00:33","0.0","9"
"ELLE Decoration - Дизайн интерьера квартир: гостиной...","elledecoration.ru","Строительство и ремонт->Дизайн интерьера, Строительство и ремонт","Контентные проекты","да","83","100","00:01:51","0.0","9"
"Недвижимость Нижнего Новгорода, недвижимость...","gipernn.ru","Недвижимость, Недвижимость->Жилая недвижимость","Агрегаторы","да","83","100","00:07:13","0.0","9"
"Огород без хлопот. Советы садоводам и огородникам","ogorod-bez-hlopot.ru","Домашнее хозяйство->Сад и огород, Домашнее хозяйство","Контентные проекты","да","83","100","00:01:21","0.0","9"
"«PassionForum.ru» — сообщество рукодельниц","passionforum.ru","Развлечения и отдых, Развлечения и отдых->Хобби","Сообщества","да","83","100","00:00:24","0.0","9"
"«Работа66» — работа в Екатеринбурге и области","rabota66.ru","Работа и карьера, Работа и карьера->Вакансии и резюме","Агрегаторы","да","83","100","00:00:15","0.0","9"
"Salon-interior — журнал по дизайну интерьера","salon.ru","Строительство и ремонт->Дизайн интерьера, Строительство и ремонт","Контентные проекты","да","83","150","00:00:35","0.0","9"
"Недвижимость в России","mlsn.ru","Недвижимость, Недвижимость->Жилая недвижимость","Агрегаторы","да","50","50","00:00:05","0.0","5"
"N1.Недвижимость","n1.ru","Недвижимость, Недвижимость->Жилая недвижимость","Агрегаторы","да","50","50","00:00:28","0.0","5"
"Все о рынке 3D печати на 3DList.ru Россия.","3dlist.ru","","Контентные проекты","да","41","50","00:00:06","0.0","4"
"Все о детях от рождения до школы: интернет-портал для...","kids365.ru","Семья и дети, Семья и дети->Развитие и воспитание детей","Контентные проекты","да","41","50","00:00:24","0.0","4"
