"Название ресурса","URL-адрес ресурса","Тематики ресурса","Тип ресурса","Данные Метрики","Посетители (кросс-девайс)","Посетители (браузер)","Среднее время","Доля пользователей приложения","Дневная аудитория"
"«Woman.ru» — всероссийский женский портал","woman.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","134247","193550","00:04:01","0.0","6462"
"«Regnum» — федеральное информационное агентство","regnum.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","128394","184850","00:01:42","0.0","7241"
"Яндекс.Недвижимость — система поиска недвижимости","realty.yandex.ru","Недвижимость, Недвижимость->Жилая недвижимость","Агрегаторы","да","125268","194600","00:26:12","0.25681341719077566","9400"
"Форум программистов и сисадминов Киберфорум","cyberforum.ru","Техника и технологии, Техника и технологии->Программирование и разработка ПО","Сообщества","да","118221","208000","00:11:45","0.0","8545"
"«Пятый канал» — официальный сайт телерадиокомпании","5-tv.ru","Новости и СМИ, Новости и СМИ->Телевидение","Новости","да","117112","157650","00:01:04","0.0","4843"
"Канобу - сайт про современные развлечения","kanobu.ru","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Контентные проекты","да","116493","176050","00:06:03","0.0","9015"
"Вокруг ТВ — портал о телевидении","vokrug.tv","Развлечения и отдых","Контентные проекты","да","115559","156900","00:02:01","0.0","5262"
"«The Village» — городская интернет-газета","the-village.ru","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Бизнес->Деловые новости","Новости","да","115441","175300","00:06:37","0.0","8737"
"Крупнейший каталог товаров в России - regmarkets.ru","regmarkets.ru","Торговля","Агрегаторы","да","111914","156650","00:02:39","0.0","4844"
"Яндекс.Район — не пропустите полезное рядом","yandex.ru/local","Справочные ресурсы, Справочные ресурсы->Карты и схемы","Сообщества","да","109327","171250","00:05:07","0.0","7544"
"Сравни.ру — выбор услуг банков и автострахования","sravni.ru","Финансы->Финансовые рынки, Финансы","Агрегаторы","да","102038","141050","00:02:20","0.0","4777"
"«Юлмарт» - Интернет-Магазин №1 в России","ulmart.ru","Торговля->Электронная техника, Торговля","Интернет-магазины","да","101661","151600","00:09:26","0.0","5483"
"Автоновости дня - авто журнал АвтоВзгляд","avtovzglyad.ru","Авто и мото->Издания об автомобилях, Авто и мото, Новости и СМИ->Издания об автомобилях, Новости и СМИ","Контентные проекты","да","97167","133500","00:02:34","0.0","4890"
"Мужской журнал MAXIM Online. Официальный сайт...","maximonline.ru","Новости и СМИ, Новости и СМИ->Газеты, журналы","Контентные проекты","да","91563","131050","00:07:14","0.0","5040"
"Ростелеком - информационный портал об услугах доступа в интернет, Интерактивного ТВ и телефонной связи","rt.ru","Услуги","Представительства бизнесов и организаций","да","90531","139600","00:05:47","0.0","5623"
"Яндекс.Авиабилеты — поиск авиабилетов","avia.yandex.ru","Путешествия->Авиа и ж/д билеты, Путешествия","Агрегаторы","да","89877","140650","00:15:08","0.15673828125","5817"
