"Название ресурса","URL-адрес ресурса","Тематики ресурса","Тип ресурса","Данные Метрики","Посетители (кросс-девайс)","Посетители (браузер)","Среднее время","Доля пользователей приложения","Дневная аудитория"
"Рамблер.Касса — продажа электронных билетов","kassa.rambler.ru","Развлечения и отдых, Развлечения и отдых->Афиша и продажа билетов","Сервисы","да","61009","86000","00:05:10","0.0","3007"
"Attuale.ru","attuale.ru","Домашнее хозяйство","Контентные проекты","да","59698","78650","00:01:40","0.0","2506"
"«Wmj.ru» — женский онлайн-журнал","wmj.ru","Развлечения и отдых->Познавательно-развлекательные сайты, Развлечения и отдых","Контентные проекты","да","55497","74800","00:03:17","0.0","2875"
"Medi.ru — справочник лекарств","medi.ru","Медицина->Лекарства и медицинские товары, Торговля->Лекарства и медицинские товары, Медицина, Торговля","Контентные проекты","да","55370","73350","00:01:13","0.0","2417"
"Рамблер/гороскопы","horoscopes.rambler.ru","Непознанное->Астрология и гороскопы, Непознанное","Контентные проекты","да","54726","74300","00:03:51","0.0","3137"
"Wonderzine — онлайн-издание для девушек","wonderzine.com","Здоровье, красота, стиль->Гид по стилю, советы и уроки, Здоровье, красота, стиль","Контентные проекты","да","53440","85050","00:13:17","0.0","5081"
"ОТЗЫВ.Ру: Отзывы туристов | Новинки кино | Авто отзывы","otzyv.ru","Путешествия->Туры и экскурсии, Путешествия","Сообщества","да","53129","75650","00:05:46","0.0","2737"
"Бухучет, налогообложение и аудит РФ","audit-it.ru","Финансы->Финансовые новости, Новости и СМИ->Финансовые новости, Новости и СМИ, Финансы","Сервисы","да","49405","70350","00:04:45","0.0","2937"
"Яндекс.Радио — музыкальный сервис","radio.yandex.ru","Развлечения и отдых, Развлечения и отдых->Музыка онлайн","Сервисы","да","48404","66350","09:00:50","0.6881057268722466","12319"
"Рамблер.Почта — бесплатная почтовая служба","mail.rambler.ru","Техника и технологии, Техника и технологии->Интернет-сервисы","Сервисы","да","45049","87800","02:17:18","0.0","10689"
"Psychologies — журнал","psychologies.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Журналы о красоте и здоровье","Контентные проекты","да","44400","65150","00:03:56","0.0","2307"
"Фильм Про — кинопортал","filmpro.ru","Развлечения и отдых->Фильмы онлайн, Развлечения и отдых","Видео","да","44286","58400","00:01:29","0.0","1831"
"«Film.ru» — национальный кинопортал","film.ru","Развлечения и отдых->Фильмы онлайн, Развлечения и отдых","Контентные проекты","да","43941","60200","00:01:54","0.0","1783"
"Информационный портал телерадиокомпании «Мир»","mir24.tv","Новости и СМИ->Деловые новости, Бизнес, Новости и СМИ, Новости и СМИ->Телевидение, Бизнес->Деловые новости","Новости","да","42648","55900","00:01:22","0.0","1739"
"«Glamour» — интернет-версия женского журнала","glamour.ru","Здоровье, красота, стиль, Новости и СМИ","Контентные проекты","да","42606","59050","00:03:51","0.0","2378"
"«Косметиста» — сообщество о косметике","kosmetista.ru","Здоровье, красота, стиль, Здоровье, красота, стиль->Косметика","Сообщества","да","42180","67850","00:28:40","0.0","3796"
"«Домофонд» — платформа для подбора недвижимости","domofond.ru","Недвижимость, Недвижимость->Жилая недвижимость","Агрегаторы","да","41840","62750","00:23:54","0.0","2866"
